0xff, 0xff, 0xff, 0xff, 0xff, 0xff, 
0xd8, 0xff, 0x80, 0x1b, 0xd8, 0x00, 
0x00, 0x1b, 0xd8, 0x00, 0x00, 0x1b, 
0xd8, 0x00, 0x00, 0x1b, 0xd8, 0x00, 
0x00, 0x1b, 0xd8, 0x70, 0x00, 0x1b, 
0xd8, 0xf1, 0xfe, 0x1b, 0xd8, 0xe1, 
0xfe, 0x1b, 0xd8, 0xe1, 0xfe, 0x1b, 
0xd8, 0xe1, 0xfe, 0x1b, 0xd8, 0xe1, 
0xce, 0x1b, 0xd8, 0xf3, 0xce, 0x1b, 
0xd8, 0xff, 0xce, 0x1b, 0xd8, 0x7f, 
0xce, 0x1b, 0xd8, 0x3f, 0x8e, 0x1b, 
0xd8, 0x1f, 0x0e, 0x1b, 0xd8, 0x00, 
0x00, 0x1b, 0xd8, 0x00, 0x00, 0x1b, 
0xd8, 0x3c, 0x78, 0x1b, 0xd8, 0x7e, 
0xfc, 0x1b, 0xd8, 0x7f, 0xfc, 0x1b, 
0xd8, 0xff, 0xfe, 0x1b, 0xd8, 0xf1, 
0xce, 0x1b, 0xd8, 0xe3, 0xce, 0x1b, 
0xd8, 0xe3, 0x8e, 0x1b, 0xd8, 0xe3, 
0x8e, 0x1b, 0xd8, 0xff, 0xfe, 0x1b, 
0xd8, 0x7f, 0xfc, 0x1b, 0xd8, 0x7e, 
0x7c, 0x1b, 0xd8, 0x3c, 0x38, 0x1b, 
0xd8, 0x00, 0x00, 0x1b, 0xd8, 0x00, 
0x00, 0x1b, 0xd8, 0x00, 0x00, 0x1b, 
0xd8, 0x00, 0x00, 0x1b, 0xd8, 0x00, 
0x00, 0x1b, 0xd8, 0x00, 0x00, 0x1b, 
0xd8, 0x00, 0x00, 0x1b, 0xd8, 0x00, 
0x00, 0x1b, 0xdf, 0xff, 0xff, 0xfb, 
0xdf, 0xff, 0xff, 0xfb, 0xdf, 0xff, 
0xff, 0xfb, 0xc0, 0x00, 0x00, 0x03, 
0xff, 0xff, 0xff, 0xff, 0xff, 0xff, 
0xff, 0xff
